Week,Rockets,Water_Shipped_ton,Equipment_Shipped_ton,Total_Shipped_ton,Stock_Level_ton,Recycling_Rate,Recycled_Water_ton,Water_Demand_ton,Cumulative_Rockets,Cumulative_Cost_M,Cumulative_Equipment,Self_Sufficiency
0,1405.0,140310.0,140.0,140450.0,810.0,0.99,0.0,140000.0,1405.0,70250.0,140.0,0.0
1,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1419.0,70950.0,140.0,0.99
2,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1433.0,71650.0,140.0,0.99
3,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1447.0,72350.0,140.0,0.99
4,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1461.0,73050.0,140.0,0.99
5,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1475.0,73750.0,140.0,0.99
6,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1489.0,74450.0,140.0,0.99
7,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1503.0,75150.0,140.0,0.99
8,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1517.0,75850.0,140.0,0.99
9,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1531.0,76550.0,140.0,0.99
10,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1545.0,77250.0,140.0,0.99
11,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1559.0,77950.0,140.0,0.99
12,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1573.0,78650.0,140.0,0.99
13,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1587.0,79350.0,140.0,0.99
14,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1601.0,80050.0,140.0,0.99
15,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1615.0,80750.0,140.0,0.99
16,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1629.0,81450.0,140.0,0.99
17,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1643.0,82150.0,140.0,0.99
18,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1657.0,82850.0,140.0,0.99
19,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1671.0,83550.0,140.0,0.99
20,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1685.0,84250.0,140.0,0.99
21,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1699.0,84950.0,140.0,0.99
22,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1713.0,85650.0,140.0,0.99
23,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1727.0,86350.0,140.0,0.99
24,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1741.0,87050.0,140.0,0.99
25,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1755.0,87750.0,140.0,0.99
26,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1769.0,88450.0,140.0,0.99
27,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1783.0,89150.0,140.0,0.99
28,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1797.0,89850.0,140.0,0.99
29,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1811.0,90550.0,140.0,0.99
30,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1825.0,91250.0,140.0,0.99
31,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1839.0,91950.0,140.0,0.99
32,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1853.0,92650.0,140.0,0.99
33,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1867.0,93350.0,140.0,0.99
34,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1881.0,94050.0,140.0,0.99
35,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1895.0,94750.0,140.0,0.99
36,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1909.0,95450.0,140.0,0.99
37,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1923.0,96150.0,140.0,0.99
38,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1937.0,96850.0,140.0,0.99
39,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1951.0,97550.0,140.0,0.99
40,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1965.0,98250.0,140.0,0.99
41,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1979.0,98950.0,140.0,0.99
42,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,1993.0,99650.0,140.0,0.99
43,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2007.0,100350.0,140.0,0.99
44,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2021.0,101050.0,140.0,0.99
45,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2035.0,101750.0,140.0,0.99
46,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2049.0,102450.0,140.0,0.99
47,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2063.0,103150.0,140.0,0.99
48,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2077.0,103850.0,140.0,0.99
49,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2091.0,104550.0,140.0,0.99
50,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2105.0,105250.0,140.0,0.99
51,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2119.0,105950.0,140.0,0.99
52,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2133.0,106650.0,140.0,0.99
53,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2147.0,107350.0,140.0,0.99
54,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2161.0,108050.0,140.0,0.99
55,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2175.0,108750.0,140.0,0.99
56,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2189.0,109450.0,140.0,0.99
57,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2203.0,110150.0,140.0,0.99
58,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2217.0,110850.0,140.0,0.99
59,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2231.0,111550.0,140.0,0.99
60,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2245.0,112250.0,140.0,0.99
61,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2259.0,112950.0,140.0,0.99
62,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2273.0,113650.0,140.0,0.99
63,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2287.0,114350.0,140.0,0.99
64,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2301.0,115050.0,140.0,0.99
65,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2315.0,115750.0,140.0,0.99
66,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2329.0,116450.0,140.0,0.99
67,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2343.0,117150.0,140.0,0.99
68,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2357.0,117850.0,140.0,0.99
69,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2371.0,118550.0,140.0,0.99
70,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2385.0,119250.0,140.0,0.99
71,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2399.0,119950.0,140.0,0.99
72,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2413.0,120650.0,140.0,0.99
73,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2427.0,121350.0,140.0,0.99
74,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2441.0,122050.0,140.0,0.99
75,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2455.0,122750.0,140.0,0.99
76,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2469.0,123450.0,140.0,0.99
77,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2483.0,124150.0,140.0,0.99
78,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2497.0,124850.0,140.0,0.99
79,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2511.0,125550.0,140.0,0.99
80,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2525.0,126250.0,140.0,0.99
81,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2539.0,126950.0,140.0,0.99
82,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2553.0,127650.0,140.0,0.99
83,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2567.0,128350.0,140.0,0.99
84,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2581.0,129050.0,140.0,0.99
85,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2595.0,129750.0,140.0,0.99
86,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2609.0,130450.0,140.0,0.99
87,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2623.0,131150.0,140.0,0.99
88,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2637.0,131850.0,140.0,0.99
89,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2651.0,132550.0,140.0,0.99
90,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2665.0,133250.0,140.0,0.99
91,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2679.0,133950.0,140.0,0.99
92,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2693.0,134650.0,140.0,0.99
93,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2707.0,135350.0,140.0,0.99
94,14.0,1400.0,0.0,1400.0,810.0,0.99,138600.0,140000.0,2721.0,136050.0,140.0,0.99
