YearIndex,Rocket_Launches,Rocket_Flow_wan_ton,Elevator_Flow_wan_ton,Total_Flow_wan_ton,E_Rocket_tCO2e,E_Elevator_tCO2e,E_Total_tCO2e,E_Limit_tCO2e,Slack_tCO2e,Cum_Flow_wan_ton
1,2000.0,30.0,53.69500000011357,83.69500000011357,1000000.0,5369.500000011358,1005369.5000000114,180000.0,825369.5000000114,83.69500000011357
2,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,180620.1550387597,824749.8449612403,167.39500000011355
3,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,181240.3100775194,824129.6899224806,251.09500000011354
4,352.0,5.279999999999999,53.699999999999996,58.98,176000.0,5370.0,181370.0,181860.46511627908,0.0,310.07500000011356
5,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,182480.62015503875,822889.3798449612,393.77500000011355
6,355.0,5.325,53.699999999999996,59.025,177500.0,5370.0,182870.0,183100.77519379844,0.0,452.8000000001135
7,356.0,5.34,53.699999999999996,59.03999999999999,178000.0,5370.0,183370.0,183720.93023255814,0.0,511.8400000001135
8,357.0,5.3549999999999995,53.699999999999996,59.05499999999999,178500.0,5370.0,183870.0,184341.08527131783,0.0,570.8950000001134
9,359.0,5.385,53.699999999999996,59.084999999999994,179500.0,5370.0,184870.0,184961.24031007753,0.0,629.9800000001135
10,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,185581.39534883722,819788.6046511628,713.6800000001135
11,361.0,5.415,53.699999999999996,59.114999999999995,180500.0,5370.0,185870.0,186201.5503875969,0.0,772.7950000001135
12,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,186821.70542635658,818548.2945736435,856.4950000001136
13,364.0,5.46,53.699999999999996,59.16,182000.0,5370.0,187370.0,187441.86046511628,0.0,915.6550000001135
14,365.0,5.475,53.699999999999996,59.175,182500.0,5370.0,187870.0,188062.01550387597,0.0,974.8300000001135
15,366.0,5.49,53.699999999999996,59.19,183000.0,5370.0,188370.0,188682.17054263566,0.0,1034.0200000001134
16,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,189302.32558139536,816067.6744186047,1117.7200000001135
17,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,189922.48062015505,815447.5193798449,1201.4200000001135
18,370.0,5.55,53.699999999999996,59.24999999999999,185000.0,5370.0,190370.0,190542.63565891472,0.0,1260.6700000001135
19,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,191162.7906976744,814207.2093023256,1344.3700000001136
20,372.0,5.58,53.699999999999996,59.279999999999994,186000.0,5370.0,191370.0,191782.9457364341,0.0,1403.6500000001136
21,374.0,5.609999999999999,53.699999999999996,59.309999999999995,187000.0,5370.0,192370.0,192403.1007751938,0.0,1462.9600000001135
22,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,193023.2558139535,812346.7441860465,1546.6600000001135
23,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,193643.4108527132,811726.5891472868,1630.3600000001136
24,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,194263.56589147286,811106.4341085271,1714.0600000001136
25,379.0,5.685,53.699999999999996,59.385,189500.0,5370.0,194870.0,194883.72093023255,0.0,1773.4450000001136
26,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,195503.87596899224,809866.1240310078,1857.1450000001137
27,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,196124.03100775194,809245.9689922481,1940.8450000001137
28,382.0,5.7299999999999995,53.699999999999996,59.42999999999999,191000.0,5370.0,196370.0,196744.18604651163,0.0,2000.2750000001138
29,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,197364.34108527133,808005.6589147287,2083.9750000001136
30,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,197984.49612403102,807385.503875969,2167.6750000001134
31,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,198604.6511627907,806765.3488372093,2251.3750000001132
32,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,199224.80620155038,806145.1937984496,2335.075000000113
33,388.0,5.819999999999999,53.699999999999996,59.519999999999996,194000.0,5370.0,199370.0,199844.96124031008,0.0,2394.595000000113
34,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,200465.11627906977,804904.8837209302,2478.295000000113
35,391.0,5.865,53.699999999999996,59.565,195500.0,5370.0,200870.0,201085.27131782947,0.0,2537.860000000113
